"bsn","bbsn","user_id"
"-0.989",296.65256539681906,"1671"
"-0.295",455.11551189968554,"1622"
"-0.083",19880.360710394907,"36"
"-0.030",5312.754252636706,"489"
"-0.025",-12223.605417938807,"5"
"-0.022",3515.9260360762646,"67"
"-0.021",3430.3365051823025,"10"
"-0.018",1372.8439542245342,"2121"
"-0.017",11629.725251745325,"2"
"-0.015",7692.299155634698,"291"
"-0.014",8480.941977098242,"810"
"-0.013",4778.852187523535,"1337"
"-0.012",-2933.3573021412585,"232"
"-0.011",2697.0617400286837,"615"
"-0.010",1900.941803957807,"7"
"-0.009",3146.011308796559,"458"
"-0.008",3916.764141577198,"13"
"-0.008",1497.5105429994812,"436"
"-0.007",275.9262637784096,"39"
"-0.006",1651.1252506990147,"261"
"-0.006",4562.634841152319,"818"
"-0.006",265.07447895379573,"339"
"-0.005",890.3537303510174,"52"
"-0.005",2583.117577230293,"1212"
"-0.005",754.0544527464815,"199"
"-0.004",1529.5467654496106,"181"
"-0.004",570.6144413455493,"620"
"-0.004",480.96779006435963,"1254"
"-0.004",-407.40518849698435,"1310"
"-0.004",-383.46531885960087,"287"
"-0.004",1084.2647821408596,"1974"
"-0.004",528.5000288827873,"1318"
"-0.004",-247.8017877032168,"92"
"-0.004",1197.8182052499149,"138"
"-0.004",1888.1517437900268,"11"
"-0.004",452.45490212766435,"435"
"-0.004",5019.104068429752,"126"
"-0.004",1953.765175461979,"995"
"-0.003",587.7523966003254,"206"
"-0.003",214.93834082328033,"147"
"-0.003",-69.00172869175518,"555"
"-0.003",171.43135312322545,"385"
"-0.003",2206.508357870614,"814"
"-0.003",652.8071500460642,"318"
"-0.003",202.7152758597466,"1629"
"-0.003",6.8455662372189465,"1598"
"-0.003",1355.6240862294217,"802"
"-0.003",339.504963573249,"720"
"-0.003",1321.1890400689156,"1560"
"-0.003",775.8878816555064,"1573"
"-0.003",64.58621922231244,"1525"
"-0.003",1631.4682283568445,"1269"
"-0.003",521.5546715067045,"300"
"-0.003",-375.4787989268926,"939"
"-0.003",972.9485185873988,"1440"
"-0.003",642.687934216281,"41"
"-0.002",208.69155273883572,"363"
"-0.002",213.19380984941836,"1119"
"-0.002",186.81654735514712,"767"
"-0.002",250.85439483431296,"1668"
"-0.002",656.7961380539216,"1579"
"-0.002",220.72416537593085,"1897"
"-0.002",745.3443070786752,"1036"
"-0.002",1164.793086565299,"627"
"-0.002",260.1007958469516,"2089"
"-0.002",1098.8062622674292,"1050"
"-0.002",42.68799417357264,"327"
"-0.002",184.10677128096808,"240"
"-0.002",190.44091233509957,"2131"
"-0.002",176.47946206521993,"1612"
"-0.002",221.04278762244587,"623"
"-0.002",228.00224570983175,"1991"
"-0.002",108.40568565089444,"1469"
"-0.002",130.62504585533117,"304"
"-0.002",-298.41459340149333,"1559"
"-0.002",267.67072151537013,"2017"
"-0.002",413.2283343433701,"443"
"-0.002",498.9515779130341,"524"
"-0.002",1784.5351544520165,"312"
"-0.002",2969.928561188727,"1241"
"-0.002",-282.9779992392283,"283"
"-0.002",55.95318140303428,"565"
"-0.002",680.6640472503523,"1544"
"-0.002",148.40341400148162,"1136"
"-0.002",143.81473866085045,"1508"
"-0.002",437.7862712315755,"829"
"-0.002",981.2347228515551,"702"
"-0.002",1062.8043628565072,"1585"
"-0.002",1103.5252216838448,"1002"
"-0.002",384.7579096487194,"891"
"-0.002",486.1046281312536,"1291"
"-0.002",229.56813312139516,"2205"
"-0.002",215.2132308476301,"1807"
"-0.002",1167.8870384833601,"333"
"-0.002",34.9698337141419,"1752"
"-0.002",-129.21644638996594,"334"
"-0.002",495.3572342612939,"1355"
"-0.002",466.102829636509,"851"
"-0.002",645.2291539874177,"62"
"-0.002",222.35904432689077,"442"
"-0.002",-167.1484527035483,"413"
"-0.002",1631.8086959881862,"354"
"-0.002",2238.832906227503,"25"
"-0.002",795.7625183346717,"26"
"-0.002",-15.786015381846497,"479"
"-0.002",256.1881989011114,"1299"
"-0.002",5307.419905587274,"64"
"-0.002",458.3174565507875,"397"
"-0.002",260.99888066103995,"364"
"-0.002",-49.611505660270694,"389"
"-0.002",212.41830151307823,"278"
"-0.002",340.548032486603,"1860"
"-0.002",1743.1678320093747,"185"
"-0.002",457.8733059254312,"1558"
"-0.002",248.37606646238652,"1830"
"-0.002",321.79876626262444,"840"
"-0.002",275.77671321717884,"617"
"-0.002",221.55446055912415,"2022"
"-0.002",1849.791946776978,"189"
"-0.002",2002.1786018068221,"8"
"-0.002",1298.4864905689828,"698"
"-0.002",157.728994019935,"1949"
"-0.002",387.8716792635937,"621"
"-0.002",366.41636526218633,"1591"
"-0.002",591.5330240713398,"1707"
"-0.002",260.93160549942735,"645"
"-0.002",836.2827609815597,"1039"
"-0.002",242.63996338537783,"491"
"-0.002",1033.3508767128876,"331"
"-0.002",212.75998878748328,"2149"
"-0.002",193.67264300292175,"1688"
"-0.001",109.6810492858189,"2123"
"-0.001",14.620351008502993,"1933"
"-0.001",-75.02743028018831,"1497"
"-0.001",496.82108356940665,"279"
"-0.001",22.780960328948773,"276"
"-0.001",73.73507904494917,"1125"
"-0.001",-732.3404540668693,"161"
"-0.001",2825.8727609236794,"253"
"-0.001",1166.102502386221,"1490"
"-0.001",170.8281514098262,"1210"
"-0.001",148.22079408960053,"727"
"-0.001",447.81502047012145,"54"
"-0.001",90.86026130297392,"2061"
"-0.001",691.7465593431878,"1947"
"-0.001",391.3164728899507,"1701"
"-0.001",269.47079392181183,"1396"
"-0.001",76.75149753250392,"1534"
"-0.001",223.6491375341665,"1990"
"-0.001",88.07012349231668,"453"
"-0.001",150.89829195720685,"1459"
"-0.001",146.06903315432754,"1697"
"-0.001",916.3309704112299,"880"
"-0.001",137.16232777976796,"1986"
"-0.001",567.8265451012252,"1520"
"-0.001",95.82203281228443,"1390"
"-0.001",11.665223624316894,"642"
"-0.001",832.7483232292203,"248"
"-0.001",347.6312608604489,"1788"
"-0.001",-7.1634164424367555,"1769"
"-0.001",138.34276548897293,"1012"
"-0.001",41.97535962792314,"1361"
"-0.001",171.92798370087004,"134"
"-0.001",251.02009550829928,"1658"
"-0.001",-58.74172990034416,"220"
"-0.001",54.42093666384357,"1732"
"-0.001",90.50406057995187,"1380"
"-0.001",847.6363184762188,"1656"
"-0.001",167.87304256412455,"1747"
"-0.001",654.8179284423688,"2208"
"-0.001",129.37263124306762,"1941"
"-0.001",202.86384180106342,"1995"
"-0.001",92.00753856446735,"2161"
"-0.001",9.007172060930984,"94"
"-0.001",95.19399963903506,"1398"
"-0.001",762.0272895076399,"889"
"-0.001",-56.21174197587254,"1401"
"-0.001",950.269998310645,"1862"
"-0.001",735.5120028528194,"1259"
"-0.001",291.0749653583505,"585"
"-0.001",163.19656618949014,"381"
"-0.001",6.774567415464944,"2110"
"-0.001",928.2373574030028,"475"
"-0.001",154.71271736708152,"1255"
"-0.001",502.63168470306886,"1496"
"-0.001",147.8403285087386,"1542"
"-0.001",527.0923406103743,"1127"
"-0.001",204.27296630689057,"1626"
"-0.001",-30.638822202514795,"837"
"-0.001",37.69067955397401,"1344"
"-0.001",275.0824201934779,"629"
"-0.001",857.9502060092275,"483"
"-0.001",864.5974062196005,"2044"
"-0.001",676.573580753574,"2021"
"-0.001",2657.7379709250777,"144"
"-0.001",507.9487913682526,"285"
"-0.001",1991.2856999463902,"31"
"-0.001",91.61793141501855,"1754"
"-0.001",85.35366263535282,"1022"
"-0.001",36.806506995702705,"1553"
"-0.001",482.54824095343713,"1810"
"-0.001",309.04323082812454,"607"
"-0.001",10.919688804443183,"445"
