"uid","tournesol_score"
"yt:00000000772",-5.476432920401086
"yt:00000003339",7.106704708406863
"yt:00000006592",3.715976980270733
"yt:00000009031",""
"yt:00000000002",34.03745763286587
"yt:00000000003",-15.012466173670733
"yt:00000000004",5.487289180559866
"yt:00000000005",""
"yt:00000000006",23.00679657010412
"yt:00000000007",4.31058020522789
"yt:00000000008",-0.7286937709785414
"yt:00000000009",-8.63027272857316
"yt:00000000010",0.7403493411299943
"yt:00000000011",-6.692063253671608
"yt:00000000012",-3.466980827720716
"yt:00000000013",-4.6499526912825795
"yt:00000000014",-14.95430891603634
"yt:00000000015",-14.335277691969972
"yt:00000000016",6.826304538338715
"yt:00000000017",-13.775001161139219
"yt:00000000018",-11.949821588347234
"yt:00000000019",-6.256112901106448
"yt:00000000020",0.14466711709176727
"yt:00000000021",14.355872205937395
"yt:00000000022",-2.729776745512539
"yt:00000000023",-5.290702480308393
"yt:00000000024",-11.58370792499671
"yt:00000000025",15.060260312032444
"yt:00000000026",10.308185654380594
"yt:00000000027",-13.888971063282593
"yt:00000000028",7.810556592654058
"yt:00000000029",-2.358149323796114
"yt:00000000030",2.7482866191880113
"yt:00000000031",-3.660812776080374
"yt:00000000032",-15.048566148434222
"yt:00000000033",5.61211354594195
"yt:00000000034",-15.174489477452639
"yt:00000000035",-1.443434961821405
"yt:00000000036",6.388666879956988
"yt:00000000037",1.2823926391009886
"yt:00000000038",-0.29034810014110496
"yt:00000000039",30.36051528839018
"yt:00000000040",8.513307964213812
"yt:00000000041",1.19631532449212
"yt:00000000042",11.512190437077487
"yt:00000000043",-11.570623106840872
"yt:00000000044",9.909305960280875
"yt:00000000045",""
"yt:00000000046",-4.919520966375204
"yt:00000000047",14.64197557058122
"yt:00000000048",""
"yt:00000000049",""
"yt:00000000050",-10.268856205331096
"yt:00000000051",-0.6620208532461267
"yt:00000000052",-12.47497708000265
"yt:00000000053",23.259271665354294
"yt:00000000054",56.14898404303898
"yt:00000000055",-6.219981512731173
"yt:00000000056",3.7449678973273373
"yt:00000000057",0.12363658451452586
"yt:00000000058",-14.738995619196356
"yt:00000000059",9.097299293539107
"yt:00000000060",-10.332738420050466
"yt:00000000061",3.769085901446896
"yt:00000000062",-13.882486523331886
"yt:00000000063",13.723303818254712
"yt:00000000064",0.4233489601094812
"yt:00000000065",-10.20026109527025
"yt:00000000066",-4.199878289279917
"yt:00000000067",8.37886709179561
"yt:00000000068",8.91347729311973
"yt:00000000069",14.492772101952776
"yt:00000000070",-14.792707635110531
"yt:00000000071",-5.182762220463543
"yt:00000000072",3.8773467692254955
"yt:00000000073",-8.094352509659458
"yt:00000000074",8.801364651458629
"yt:00000000075",0.5947430855885295
"yt:00000000076",-4.005747139302098
"yt:00000000077",5.080368808967556
"yt:00000000078",14.578423305300042
"yt:00000000079",-10.876336129215336
"yt:00000000080",-1.120967162349768
