"uid","tournesol_score"
"yt:00000005904",-27.855054958349
"yt:00000009031",""
"yt:00000001542",-74.7861667817115
"yt:00000006713",73.2214294718778
"yt:00000000689",74.92908263072582
"yt:00000001497",0.001182312763422577
"yt:00000000008",-0.7286937709785414
"yt:00000000009",-8.63027272857316
"yt:00000000010",0.7403493411299943
"yt:00000000011",-6.692063253671608
"yt:00000000013",-4.6499526912825795
"yt:00000000014",-14.95430891603634
"yt:00000000015",-14.335277691969972
"yt:00000000016",6.826304538338715
"yt:00000000017",-13.775001161139219
"yt:00000000018",-11.949821588347234
"yt:00000004615",-11.756651901269903
"yt:00000006323",-15.327909333200843
"yt:00000000968",3.3356077840973684
"yt:00000000021",14.355872205937395
"yt:00000000022",-2.729776745512539
"yt:00000000023",-5.290702480308393
"yt:00000007000",22.978057094797244
"yt:00000000025",15.060260312032444
"yt:00000005488",24.530694145662032
"yt:00000000029",-2.358149323796114
"yt:00000000031",-3.660812776080374
"yt:00000000032",-15.048566148434222
"yt:00000003788",-34.0177833117822
"yt:00000000036",6.388666879956988
"yt:00000000037",1.2823926391009886
"yt:00000000038",-0.29034810014110496
"yt:00000000039",30.36051528839018
"yt:00000000040",8.513307964213812
"yt:00000000041",1.19631532449212
"yt:00000007041",0.001182312763422577
"yt:00000008802",0.12257974070164704
"yt:00000000189",-19.867280503600544
"yt:00000003401",0.001182312763422577
"yt:00000005825",2.279583749951269
"yt:00000000045",""
"yt:00000000048",""
"yt:00000000049",""
"yt:00000000050",-10.268856205331096
"yt:00000004190",-18.591085429930057
"yt:00000000055",-6.219981512731173
"yt:00000000056",3.7449678973273373
"yt:00000000057",0.12363658451452586
"yt:00000000058",-14.738995619196356
"yt:00000000059",9.097299293539107
"yt:00000007673",67.69365557767878
"yt:00000000061",3.769085901446896
"yt:00000002945",-74.49211281591504
"yt:00000007273",0.001182312763422577
"yt:00000003472",0.001182312763422577
"yt:00000004776",-8.163732716667871
"yt:00000008303",-12.33235966376481
"yt:00000001170",73.9326890574327
"yt:00000005789",14.125119390939332
"yt:00000000828",-84.15694355105339
"yt:00000000067",8.37886709179561
"yt:00000006460",63.858129290585
"yt:00000004208",0.001182312763422577
"yt:00000000074",8.801364651458629
"yt:00000003943",0.001182312763422577
"yt:00000000077",5.080368808967556
"yt:00000000080",-1.120967162349768
"yt:00000000165",-10.019679322127564
"yt:00000000083",-11.217525391484818
"yt:00000006032",0.001182312763422577
"yt:00000005216",-41.69485057449293
"yt:00000000073",-68.34978740484237
"yt:00000000071",-22.555625071026956
"yt:00000007322",10.18088118506927
"yt:00000002290",-22.770897345728613
"yt:00000000086",-6.23176580376505
"yt:00000000087",-6.16735609160467
"yt:00000005376",0.001182312763422577
"yt:00000007040",74.36631520459214
"yt:00000000092",36.629407562374034
"yt:00000004139",0.001182312763422577
"yt:00000006239",-23.688342342818007
"yt:00000000096",-2.213999816052634
"yt:00000000898",36.31121844963383
"yt:00000002993",0.001182312763422577
"yt:00000000102",3.59192679784047
"yt:00000000103",3.3574671972844703
"yt:00000000104",-14.725550966214206
"yt:00000006919",-28.620929449616224
"yt:00000000106",5.276103809276101
"yt:00000000107",-6.5218192452787145
"yt:00000002243",29.351910692983935
"yt:00000008634",2.198344364679466
"yt:00000003763",0.001182312763422577
"yt:00000000108",-4.244235940929532
"yt:00000000109",-14.655866478451635
"yt:00000000110",14.57512790497602
"yt:00000000111",-6.168706355437343
"yt:00000008652",2.004393839084971
"yt:00000003599",0.001182312763422577
"yt:00000000118",""
"yt:00000004099",15.777039429615375
